sha16	type	stage	note
174681c71fcbaf4a	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
174f4df9ddf3b1a2	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
17625b5dde07f799	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/presentation.xml)
18392500a193f647	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slides/slideN.xml)
18c82376e0501b76	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
1a27a30c61dc96af	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
1be7283a7af221ab	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/presentation.xml)
1cdbbe32a91fc886	xlsx	fidelity	N identical, N changed, N missing, N extra parts (first: changed xl/workbook.xml)
1d347713e11fc4b3	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/presentation.xml)
1e10203048469565	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
1e3623bcbb81d562	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
1e3be3526ac024f1	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/presentation.xml)
1e5d0600c33238e2	pptx	open	pptx: not a valid PowerPoint file
1e9bf0a22b7c7b20	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
1f8b6bc7543faca7	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slides/slideN.xml)
202ac7d774e3f617	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/presentation.xml)
203e0ac51e227112	xlsx	fidelity	N identical, N changed, N missing, N extra parts (first: changed xl/workbook.xml)
2088320b2a3201cf	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slideLayouts/slideLayoutN.xml)
2101fa1b75c131a8	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
212b68118bde5afb	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slideMasters/slideMasterN.xml)
214797f21c0e16d6	xlsx	fidelity	N identical, N changed, N missing, N extra parts (first: changed [Content_Types].xml)
21a3de3ab67f878a	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
227706afca2acfed	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slides/slideN.xml)
22fd70a4fdb7f932	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
240918d812272754	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slideLayouts/slideLayoutN.xml)
2457b41df07b9fe7	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
24a7b77bb413fa6b	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
252d70e22a796e16	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed [Content_Types].xml)
27269416bb5112bd	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
2762107ee53564f9	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
27ab1933f92ad6a6	xlsx	fidelity	N identical, N changed, N missing, N extra parts (first: changed [Content_Types].xml)
27b78d1d6dfd9ab9	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
28533af02bc46f06	docx	open	docx: not a valid Word document
288fc69c05fc08cc	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/presentation.xml)
2a46851d70fc4c05	xlsx	fidelity	N identical, N changed, N missing, N extra parts (first: changed [Content_Types].xml)
2a81aa540c049f7d	xlsx	fidelity	N identical, N changed, N missing, N extra parts (first: changed xl/workbook.xml)
2b0c085570ad4eeb	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slideLayouts/slideLayoutN.xml)
2b0eb826b71b4daf	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
2c57ee7692d91f1b	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
2c7f5182baf391b1	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
2d0f0f1c5a078d24	pptx	fidelity	re-reading original parts: zip: checksum error
2d124b3408a8a036	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slideLayouts/slideLayoutN.xml)
2d2d6a2eb5578be1	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slides/slideN.xml)
2d82d0906febae64	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
2d904544232e4c27	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
2d9cda0db924d34e	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/presentation.xml)
2daae12ecb8f1a37	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
2eae58a7ea74ac94	xlsx	fidelity	N identical, N changed, N missing, N extra parts (first: changed xl/workbook.xml)
2efd07aa73e3c76b	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slides/slideN.xml)
2f15f3653cd50044	xlsx	fidelity	N identical, N changed, N missing, N extra parts (first: changed [Content_Types].xml)
2f756a2301eabffd	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/presentation.xml)
2fbd1be8402c9214	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
30994cc1950d0e45	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed docProps/core.xml)
30dc78916308b834	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
32914cd0ed654a40	xlsx	fidelity	N identical, N changed, N missing, N extra parts (first: changed xl/workbook.xml)
32a7df066b3d0681	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slides/slideN.xml)
32c42ddf5301b76b	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
33422c3d932912c0	xlsx	fidelity	N identical, N changed, N missing, N extra parts (first: changed [Content_Types].xml)
33b13eb403989014	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed docProps/core.xml)
33b9a24c6b3cf429	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed [Content_Types].xml)
34259f8cc9438e0f	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
3473592d526a19e4	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slides/slideN.xml)
3560ba6c2a3dda27	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
3575923132ed6096	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
35899974550ad032	xlsx	fidelity	N identical, N changed, N missing, N extra parts (first: changed xl/workbook.xml)
3674f8659578f390	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
36859e68ea5d46a8	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
36d9b64cd60e084a	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/presentation.xml)
36f241dcc51d5568	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slides/slideN.xml)
37362376dd5f1355	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
37ab2a11aa43c804	xlsx	fidelity	N identical, N changed, N missing, N extra parts (first: changed xl/workbook.xml)
38b1b5c92108ac2b	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
391ecae96aad02ec	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
392f4a31e2c37ac1	pptx	open	pptx: not a valid PowerPoint file
3931422e3b97003b	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed docProps/core.xml)
394eb1d7b4ac2960	xlsx	fidelity	N identical, N changed, N missing, N extra parts (first: changed xl/workbook.xml)
398251e731c2e4af	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/presentation.xml)
39b9ebe9478e4c2e	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/presentation.xml)
3a60af7c52ff0272	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/presentation.xml)
3a8223998cd680c0	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
3b46b57106248f32	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/presentation.xml)
3ba8120425aadd5d	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slides/slideN.xml)
3bdab102f73eb889	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slideLayouts/slideLayoutN.xml)
3e67d004229fae0c	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
3eba3c5ce6e66aa4	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/presentation.xml)
3ecc87da277f368f	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
3f46b5912aaec08f	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed docProps/core.xml)
3fa1c4201d9feeb2	xlsx	fidelity	N identical, N changed, N missing, N extra parts (first: changed [Content_Types].xml)
402a3e4398a87d16	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
40739f2fd9f07ed0	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed docProps/core.xml)
40a5a8b07ffeda16	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed docProps/core.xml)
40e148fc5d876b8e	xlsx	fidelity	N identical, N changed, N missing, N extra parts (first: changed [Content_Types].xml)
410e508a38155656	pptx	fidelity	N identical, N changed, N missing, N extra parts (first: changed ppt/slides/slideN.xml)
4132d7ec54887d2a	docx	fidelity	N identical, N changed, N missing, N extra parts (first: changed word/document.xml)
